id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
100,mqtt,f,23.47,45.88,3.65,1772146039.1236749,1772146039.1278863,4.21142578125,91,2026-02-26 22:47:19.128036
101,mqtt,f,20.72,58.16,2.04,1772146039.1790774,1772146039.1818268,2.7494430541992188,91,2026-02-26 22:47:19.181951
102,mqtt,f,24.91,52.4,1.28,1772146039.2326825,1772146039.2355473,2.864837646484375,90,2026-02-26 22:47:19.235708
103,mqtt,f,26.61,51.78,3.32,1772146039.2864532,1772146039.2893436,2.890348434448242,91,2026-02-26 22:47:19.289429
104,mqtt,f,28.86,59.59,4.41,1772146039.3400543,1772146039.342983,2.9287338256835938,91,2026-02-26 22:47:19.343092
105,mqtt,f,24.98,45.01,4.59,1772146039.3937936,1772146039.396541,2.7475357055664062,91,2026-02-26 22:47:19.396725
106,mqtt,f,27.8,56.52,4.27,1772146039.4471662,1772146039.4504123,3.2460689544677734,90,2026-02-26 22:47:19.450514
107,mqtt,f,27.89,57.15,2.98,1772146039.5014145,1772146039.5073974,5.982875823974609,91,2026-02-26 22:47:19.507519
108,mqtt,f,20.37,47.78,2.44,1772146039.5582397,1772146039.5624955,4.255771636962891,91,2026-02-26 22:47:19.562602
109,mqtt,f,24.11,43.84,2.06,1772146039.613225,1772146039.6173136,4.088640213012695,90,2026-02-26 22:47:19.617396
110,mqtt,f,28.76,51.87,1.26,1772146039.6679666,1772146039.670705,2.738475799560547,91,2026-02-26 22:47:19.670913
111,mqtt,f,26.2,54.28,4.92,1772146039.7216332,1772146039.7250097,3.376483917236328,90,2026-02-26 22:47:19.72515
112,mqtt,f,24.38,54.66,2.54,1772146039.7738132,1772146039.7777479,3.934621810913086,91,2026-02-26 22:47:19.777887
113,mqtt,f,21.76,41.69,3.33,1772146039.82837,1772146039.8306282,2.2580623626708984,89,2026-02-26 22:47:19.830717
114,mqtt,f,25.38,48.08,3.03,1772146039.8814018,1772146039.8844562,3.054380416870117,91,2026-02-26 22:47:19.884561
115,mqtt,f,20.43,49.38,4.3,1772146039.9352832,1772146039.9377449,2.461671829223633,90,2026-02-26 22:47:19.937838
116,mqtt,f,25.41,42.15,3.23,1772146039.988552,1772146039.991717,3.165006637573242,90,2026-02-26 22:47:19.991842
117,mqtt,f,26.67,49.82,3.97,1772146040.0423117,1772146040.0450504,2.7387142181396484,91,2026-02-26 22:47:20.045138
118,mqtt,f,27.21,48.84,2.42,1772146040.0958827,1772146040.0989425,3.059864044189453,91,2026-02-26 22:47:20.099068
